task_no, job_no, rsrc_no,task_list_note, notified_date, order_date, due_date, cancel_date, cancel_by, acknowledged_date, estimated_pages, estimated_delivery_date, turn_in_date, task_notes, rsrc_notes,last_modified_at, last_modified_by, entered_at, entered_by
148049,134717,2784,Court Reporter,2026-03-04 15:16:00,2026-03-05,2026-03-19,,,2026-03-04 15:20:00,0,,,,,2026-03-04 15:26:07.713000,44077,2026-03-03 09:40:40.343000,44077
148046,136269,1508,Court Reporter,2026-03-03 15:14:08.073000,2026-03-04,2026-03-18,,,2026-03-03 15:28:30.693000,55,,,,,2026-03-04 16:03:46.050000,24659,2026-03-03 09:30:45.567000,43871
148044,136267,2348,Court Reporter,2026-03-03 15:14:06.460000,2026-03-04,2026-03-18,2026-03-03 16:09:08.670000,1111,2026-03-03 15:56:45.050000,0,,,,,2026-03-03 16:09:08.670000,37784,2026-03-03 09:27:36.697000,43151
148042,136265,2734,Videographer,2026-03-04 12:09:06.360000,2026-03-04,2026-03-18,,,2026-03-03 15:22:46.013000,0,,2026-03-04 16:41:14.543000,,,2026-03-04 16:41:14.543000,35869,2026-03-03 09:15:49.223000,44077
148040,136265,2647,Court Reporter,2026-03-04 12:08:46.153000,2026-03-04,2026-03-18,,,2026-03-03 16:03:54.417000,0,,2026-03-04 15:30:14.773000,,,2026-03-04 15:30:14.773000,39992,2026-03-03 09:14:06.230000,44077
148039,133354,1624,Backorder,2026-03-03 09:06:05.767000,2026-03-03,2026-03-12,2026-03-03 10:03:35.133000,1091,,0,,,,,2026-03-03 10:03:35.133000,33329,2026-03-03 09:04:52.700000,33329
148035,136261,1642,Interpreter,2026-03-02 16:14:44.613000,2026-03-20,2026-04-03,,,,0,,,,,2026-03-02 16:14:44.613000,43151,2026-03-02 16:09:22.157000,43151
148034,136262,1956,Court Reporter,,2026-03-10,2026-03-24,,,,0,,,,,2026-03-05 12:40:26.477000,37784,2026-03-02 16:05:53.267000,44077
148032,136260,2784,Court Reporter,,2026-03-12,2026-03-26,,,,0,,,,,2026-03-05 13:41:55.887000,37784,2026-03-02 15:44:55.757000,43151
148030,136258,1508,Court Reporter,2026-03-04 15:16:55.190000,2026-03-05,2026-03-19,,,2026-03-04 15:32:49.767000,0,,,,,2026-03-04 15:32:49.767000,37784,2026-03-02 15:32:09.393000,44077
148029,136257,1814,Videographer,2026-03-05 15:17:36.197000,2026-03-06,2026-03-20,,,2026-03-05 16:05:25.653000,0,,,,,2026-03-05 16:05:25.653000,43151,2026-03-02 15:24:17.477000,44077
148028,136257,2689,Court Reporter,2026-03-05 15:20:16.247000,2026-03-06,2026-03-20,,,2026-03-05 17:16:42.690000,0,,,,,2026-03-05 17:16:42.690000,43151,2026-03-02 15:21:36.890000,44077
148027,136256,2767,Court Reporter,2026-03-02 15:14:13.487000,2026-03-03,2026-03-17,,,2026-03-02 15:23:06.420000,0,,2026-03-04 11:55:25.283000,,,2026-03-04 11:55:25.283000,43159,2026-03-02 15:04:26.703000,37784
148024,136253,2349,Court Reporter,,2026-03-10,2026-03-24,,,,0,,,,,2026-03-05 12:44:27.707000,37784,2026-03-02 14:39:45.153000,43151
148023,136252,2550,Court Reporter,2026-03-03 15:14:03.990000,2026-03-04,2026-03-18,2026-03-03 15:17:53.043000,1111,,0,,,,,2026-03-03 15:17:53.043000,37784,2026-03-02 14:33:25.973000,44077
148014,136037,2693,Court Reporter,2026-03-02 12:56:58.273000,2026-03-02,2026-03-16,,,,0,,,,,2026-03-02 12:56:58.273000,37784,2026-03-02 12:56:28.500000,37784
