job_no, job_date, start_time, end_time, timezone_name, case_no, job_type, status_name, scheduled_by_email, job_loc_name, job_loc_address, job_loc_city, job_loc_state, job_loc_zip,scheduling_notes_html, zoom_meeting_id, confirmation_notes_html, last_modified_at, last_modified_by, entered_at, entered_by
135546,2026-02-19,10:00:00,12:00:00,Eastern Standard Time,74311,VTC: Court Reporter,Confirmed,,GalloMeet Web Conferencing - Beech Boardroom,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter Only |&nbsp;&nbsp;All parties to attend remotely<br><br>ZOOM link for ALL parties to appear remotely:&nbsp;<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/86799777787?pwd=YZgEbujKAEqnJRnlu65AnCpKbnPI83.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 487797<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 867 9977 7787<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 487797<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;16469313860,86799777787# or 13017158592,86799777787#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 646 931 3860 (US Toll) or +1 301 715 8592 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 867 9977 7787&nbsp;<br>",2026-03-05 15:06:30.200000,35869,2026-02-13 11:32:24.440000,44077
136017,2026-03-05,10:00:00,17:00:00,Eastern Standard Time,74904,VTC: Court Reporter,Confirmed,,GalloMeet Web Conferencing - Pine Boardroom,All attendees appearing remotely.,REMOTE,,,Please copy gstarling@radfordscott.com and jholton@radfordscott.com on all communications related to this request.,,"Please copy gstarling@radfordscott.com and jholton@radfordscott.com on all communications related to this request.<br><br>Remote Court Reporter Only |&nbsp;&nbsp;All parties to attend remotely<br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/84378354415?pwd=dv911Q9WJIjgXpBqTh8ShfWaGnn1mS.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 990962<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 843 7835 4415<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 990962<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;16469313860,84378354415# or 13017158592,84378354415#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 646 931 3860 (US Toll) or +1 301 715 8592 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 843 7835 4415&nbsp;<br>",2026-03-05 08:10:24.683000,37784,2026-02-24 15:57:45.660000,42477
136030,2026-03-06,10:00:00,12:00:00,Eastern Standard Time,71226,Depo: Court Reporter Only,Confirmed,,Atlanta City Hall,"55 Trinity Avenue, S.W.",Atlanta,GA,30303,,,Court Reporter ONLY | **ALL parties to appear in-person**<br>,2026-03-05 12:33:17.530000,43151,2026-02-25 08:34:47.250000,42947
136037,2026-03-02,10:00:00,12:00:00,Eastern Standard Time,74912,VTC: Court Reporter,Confirmed,,GalloMeet Web Conferencing - Mahogany Boardroom,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter Only |&nbsp;&nbsp;All parties to attend remotely<br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/87405210532?pwd=X24DQV14lry2ValiHRzf01WsjFsA3E.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 735872<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 874 0521 0532<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 735872<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;13092053325,87405210532# or 13126266799,87405210532#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 309 205 3325 (US Toll) or +1 312 626 6799 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 874 0521 0532&nbsp;",2026-03-02 12:57:19.530000,37784,2026-02-25 09:33:46.040000,43871
136210,2026-03-19,10:00:00,16:00:00,Eastern Standard Time,74431,"VTC: Reporter, Interpreter",New,,GalloMeet Web Conferencing - Willow Boardroom	,All attendees appearing remotely.,REMOTE,,,,,"<span style=""color:#ff0000;background-color:#fff2cc;"">INTERPRETER ONLY FOR FERNANDO SALOMON AT 1PM</span><br><br>Remote Court Reporter &amp; Interpreter | All parties to attend remotely<br><br>Language: Spanish&nbsp;<br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/87923532343?pwd=ZMouLuJph41BCJJ6ULC0GCBKJaxVh1.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 788580<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 879 2353 2343<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 788580<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;16469313860,87923532343# or 13017158592,87923532343#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 646 931 3860 (US Toll) or +1 301 715 8592 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 879 2353 2343&nbsp;<br>Rescheduled from 3/3/2026",2026-03-05 11:12:25.747000,44077,2026-03-02 08:02:27.133000,37784
136252,2026-03-04,10:00:00,13:00:00,Eastern Standard Time,75017,VTC: Court Reporter,Cancelled,,GalloMeet Web Conferencing - Dogwood Boardroom,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter Only |&nbsp;&nbsp;All parties to attend remotely<br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/82431481682?pwd=Zb1sgnvCAsRlahWz2cYOuJkmaLqRal.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 232902<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 824 3148 1682<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 232902<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;16468769923,82431481682# or 16469313860,82431481682#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 646 876 9923 (US Toll) or +1 646 931 3860 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 824 3148 1682&nbsp;",2026-03-03 15:19:01.367000,37784,2026-03-02 14:33:25.973000,44077
136253,2026-03-10,11:00:00,15:00:00,Eastern Standard Time,75018,VTC: Court Reporter,New,,GalloMeet Web Conferencing - Willow Boardroom	,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter Only |&nbsp;&nbsp;All parties to attend remotely<br><br>ZOOM link for ALL parties to appear remotely:&nbsp;<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/85626664063?pwd=b4RxvaOA8fqtxVlrCmnJjBa8P3as9m.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 910682<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 856 2666 4063<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 910682<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;16469313860,85626664063# or 13017158592,85626664063#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 646 931 3860 (US Toll) or +1 301 715 8592 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 856 2666 4063&nbsp;<br>",2026-03-02 14:51:46.760000,43151,2026-03-02 14:39:45.153000,43151
136256,2026-03-03,13:00:00,15:00:00,Eastern Standard Time,74818,VTC: Court Reporter,Billed,,GalloMeet Web Conferencing - Bamboo Boardroom,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter Only |&nbsp;&nbsp;All parties to attend remotely<br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/87571884845?pwd=srwIojdMy3FJbfxVGGQnvGHmYdxUEb.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 061129<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 875 7188 4845<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 061129<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;13052241968,87571884845# or 13092053325,87571884845#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 305 224 1968 (US Toll) or +1 309 205 3325 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 875 7188 4845&nbsp;",2026-03-04 14:33:59.670000,35869,2026-03-02 15:04:26.703000,37784
136257,2026-03-06,13:00:00,15:00:00,Eastern Standard Time,73925,"VTC: Reporter, Videographer",Confirmed,,GalloMeet Web Conferencing - Aspen Boardroom,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter &amp; Videographer | All parties to attend remotely<br><br>ZOOM link for ALL parties to appear remotely:<br><br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/85889492949?pwd=RH2XYSeTtv8hCK7OmzXeYqCx3hUHUd.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 418944<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 858 8949 2949<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 418944<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;13126266799,85889492949# or 16468769923,85889492949#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 312 626 6799 (US Toll) or +1 646 876 9923 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 858 8949 2949&nbsp;",2026-03-05 08:20:36.087000,37784,2026-03-02 15:21:36.890000,44077
136258,2026-03-05,11:00:00,13:00:00,Eastern Standard Time,75021,Depo: Court Reporter Only,Confirmed,,"Copeland, Stair, Valz & Lovell, LLP - Atlanta","191 Peachtree Street, NE
Peachtree Tower, Suite 3600",Atlanta,GA,30303-1740,,,Court Reporter ONLY | **ALL parties to appear in-person**,2026-03-04 14:22:24.680000,43151,2026-03-02 15:32:09.393000,44077
136259,2026-03-25,15:30:00,17:30:00,Eastern Standard Time,74723,"VTC: Reporter, Interpreter",New,,GalloMeet Web Conferencing - Pine Boardroom,All attendees appearing remotely.,REMOTE,,,,,"Remote Court Reporter &amp; Spanish Interpreter |&nbsp;&nbsp;All parties to attend remotely<br><br>ZOOM link for ALL parties to appear remotely:<br>Join from PC, Mac, Linux, iOS or Android: https://gallo-legal.zoom.us/j/82107155387?pwd=abbNdzdbtvYFmrcMfCotsiAyaVtFDG.1<br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 543201<br><br>or&nbsp;<br><br>Visit https://gallo-legal.zoom.us/<br>Click ""Join Meeting""<br>Enter Meeting ID: 821 0715 5387<br><br>&nbsp;&nbsp;&nbsp;&nbsp;Password: 543201<br>&nbsp;<br>Or iPhone one-tap:&nbsp;&nbsp;13052241968,82107155387# or 13092053325,82107155387#<br><br>Or Telephone&nbsp;&nbsp;(Mute PC to avoid feedback if using telephone for audio and computer for video.):<br>&nbsp;&nbsp;&nbsp;&nbsp;Dial: +1 305 224 1968 (US Toll) or +1 309 205 3325 (US Toll)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0282 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;877 853 5247 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;888 788 0099 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;833 548 0276 (US Toll Free)<br>&nbsp;&nbsp;&nbsp;&nbsp;Meeting ID: 821 0715 5387&nbsp;",2026-03-03 10:32:13.910000,43871,2026-03-02 15:43:26.127000,44077
