ListNo,ListValue,LastModified,LastModifiedBy,Entered,EnteredBy
2412,D Tier,2024-02-27 08:24:56.897000,30557,2024-02-27 08:24:56.897000,30557
2411,C Tier,2024-02-27 08:24:52.893000,30557,2024-02-27 08:24:52.893000,30557
2410,B Tier,2024-02-27 08:24:49.073000,30557,2024-02-27 08:24:49.073000,30557
2409,A Tier,2024-02-27 08:24:44.743000,30557,2024-02-27 08:24:44.743000,30557
2404,Hooters/HOA Brands,2023-12-26 14:34:48.947000,1001,2023-12-26 14:34:21.837000,1001
452,6. RealTime,2023-09-19 12:55:07.467000,34758,2006-04-11 13:57:57.820000,1
2401,3d. Insurance >2hrs,2023-09-19 12:54:52.837000,34758,2023-09-19 12:45:00.323000,34758
2400,3c. After-Hours,2023-09-19 12:54:44.627000,34758,2023-09-19 12:30:21.460000,34758
2378,7. Asbestos Work,2023-09-19 12:54:31.107000,34758,2023-02-12 16:08:53.983000,1001
2379,3b.  All-Day Depos,2023-09-19 12:54:01.880000,34758,2023-02-12 16:09:45.987000,1001
2023,5. Rough ASCII / Daily / Rush,2023-09-19 12:53:15.680000,34758,2008-08-22 12:12:59.117000,1001
2376,3a. Insurance / Comp / Short PI Work,2023-09-19 12:53:01.630000,34758,2023-02-12 16:07:33.180000,1001
2402,3. Medical/Technical/Expert,2023-09-19 12:52:52.343000,34758,2023-09-19 12:51:03.030000,34758
450,1. In-Person,2023-09-19 12:52:07.167000,34758,2006-04-11 13:57:57.820000,1
2018,2a. Videotaped,2023-09-19 12:51:31.567000,34758,2008-07-30 10:13:08.500000,1001
2076,2. Laptop / Hybrid,2023-09-19 12:51:26.550000,34758,2013-04-29 11:42:42.323000,1001
455,1a. Remote,2023-09-19 12:51:20.640000,34758,2006-04-11 13:57:57.820000,1
2389,4. Arbitration,2023-09-19 12:49:48.190000,34758,2023-02-16 09:36:45.120000,32900
2375,4a. Court / Trial,2023-09-19 12:49:39.207000,34758,2023-02-12 16:06:52.783000,1001
2399,Sales Rep,2023-03-24 09:50:58.150000,30557,2023-03-24 09:50:58.150000,30557
2398,YesLaw Signature,2023-03-08 16:10:45.750000,32900,2023-03-08 16:10:45.750000,32900
2397,Digital Business Card,2023-03-08 16:10:40.500000,32900,2023-03-08 16:10:40.500000,32900
2396,W9,2023-03-08 16:10:29.533000,32900,2023-03-08 16:10:29.533000,32900
2395,Z. Non Legal Video Job,2023-03-07 17:13:16.173000,33085,2023-03-07 17:12:34.433000,33085
2392,CART,2023-02-23 10:32:55.297000,32900,2023-02-23 10:32:55.297000,32900
1110,Ancillary International,2023-02-18 18:14:13.790000,1001,2006-04-11 13:57:57.850000,1
2391,Tier 7 - Zone 7 Rates,2023-02-17 15:08:33.733000,1001,2023-02-17 15:08:33.733000,1001
2390,Tier 6 - Zone 6 Rates,2023-02-17 15:08:19.107000,1001,2023-02-17 15:08:19.107000,1001
2388,NCRA,2023-02-14 16:49:39.470000,32900,2023-02-14 16:49:39.470000,32900
2296,Final Review,2023-02-14 16:45:08.300000,1001,2023-01-01 21:40:57.987000,1
2295,Scoping,2023-02-14 16:44:55.747000,1001,2023-01-01 21:40:57.987000,1
2294,Proofing,2023-02-14 16:44:50.157000,1001,2023-01-01 21:40:57.977000,1
2387,CSR,2023-02-14 11:14:22.237000,32900,2023-02-14 11:14:22.237000,32900
2386,CVR,2023-02-14 11:03:26.197000,32900,2023-02-14 11:03:26.197000,32900
2304,6. Does Not Network,2023-02-14 09:31:08.260000,32900,2023-02-10 14:52:45.950000,32900
2380,2x.  Affiliate Firm - Nationwide $$,2023-02-13 15:14:09.453000,32900,2023-02-13 10:00:20.887000,32900
2381,2y.  Affiliate Firm - Nationwide $$S,2023-02-13 15:14:03.547000,32900,2023-02-13 10:00:30.687000,32900
421,1z.  Affiliates/Firms - Georgia $$$$,2023-02-13 15:13:51.350000,32900,2006-04-11 13:57:57.803000,1
2385,2d. Staff:  Nationwide - Zone 4,2023-02-13 10:01:55.963000,32900,2023-02-13 10:01:55.963000,32900
2384,2c. Staff:  Nationwide - Zone 3,2023-02-13 10:01:43.477000,32900,2023-02-13 10:01:43.477000,32900
2383,2b. Staff:  Nationwide - Zone 2,2023-02-13 10:01:32.380000,32900,2023-02-13 10:01:32.380000,32900
2382,2z.  Affiliate Firm - Nationwide $$$$,2023-02-13 10:00:39.913000,32900,2023-02-13 10:00:39.913000,32900
420,2w.  Affiliate Firm - Nationwide $,2023-02-13 10:00:05.270000,32900,2006-04-11 13:57:57.803000,1
405,Reporter,2023-02-13 09:41:01.547000,32900,2006-04-11 13:57:57.803000,1
441,Tennessee,2023-02-12 16:40:25.320000,1001,2006-04-11 13:57:57.820000,1
440,Georgia,2023-02-12 16:40:21.143000,1001,2006-04-11 13:57:57.820000,1
2004,CCR,2023-02-12 16:40:10.070000,1001,2008-07-18 22:34:37.587000,1
446,Alabama,2023-02-12 16:39:29.280000,1001,2006-04-11 13:57:57.820000,1
2374,Interpreter - Polish,2023-02-11 20:17:17.017000,1001,2023-02-11 20:17:17.017000,1001
2373,Interpreter - Mandarin,2023-02-11 20:12:47.957000,1001,2023-02-11 20:12:47.957000,1001
2372,Interpreter - Chinese,2023-02-11 20:08:45.797000,1001,2023-02-11 20:08:45.797000,1001
2371,Interpreter - Russian,2023-02-11 20:07:58.067000,1001,2023-02-11 20:07:58.067000,1001
2370,Interpreter - Bosnian,2023-02-11 20:02:49.017000,1001,2023-02-11 20:02:49.017000,1001
2369,Interpreter - Albanian,2023-02-11 20:01:17.200000,1001,2023-02-11 20:01:17.200000,1001
2368,Interpreter - Hindi,2023-02-11 19:52:05.707000,1001,2023-02-11 19:52:05.707000,1001
2367,Interpreter - Portuguese,2023-02-11 19:49:17.277000,1001,2023-02-11 19:49:17.277000,1001
2366,Interpreter - Arabic,2023-02-11 19:40:40.713000,1001,2023-02-11 19:40:40.713000,1001
2365,Interpreter - Farsi,2023-02-11 19:28:42.490000,1001,2023-02-11 19:28:42.490000,1001
2364,Interpreter - Sign Language,2023-02-11 19:26:21.080000,1001,2023-02-11 19:26:21.080000,1001
2363,Interpreter - Vietnamese,2023-02-11 19:14:37.590000,1001,2023-02-11 19:14:37.590000,1001
2362,Interpreter - Company,2023-02-11 19:14:28.600000,1001,2023-02-11 19:14:28.600000,1001
2361,Interpreter - Spanish,2023-02-11 19:10:24.443000,1001,2023-02-11 19:10:24.443000,1001
2360,Interpreter - Korean,2023-02-11 19:10:17.253000,1001,2023-02-11 19:10:17.253000,1001
2359,Wyoming (WY) Certification,2023-02-11 16:32:39.260000,1001,2023-02-11 16:32:39.260000,1001
2358,Wisconsin (WI) Certification,2023-02-11 16:32:28.467000,1001,2023-02-11 16:32:28.467000,1001
2357,West Virginia (WV) Certification,2023-02-11 16:32:19.610000,1001,2023-02-11 16:32:19.610000,1001
2356,Washington (WA) Certification,2023-02-11 16:32:05.633000,1001,2023-02-11 16:32:05.633000,1001
2355,Virginia (VA) Certification,2023-02-11 16:31:53.863000,1001,2023-02-11 16:31:53.863000,1001
2354,Vermont (VT) Certification,2023-02-11 16:31:42.800000,1001,2023-02-11 16:31:42.800000,1001
2353,Utah (UT) Certification,2023-02-11 16:31:24.563000,1001,2023-02-11 16:31:24.563000,1001
2352,Texas (TX) Certification,2023-02-11 16:31:13.260000,1001,2023-02-11 16:31:13.260000,1001
2351,Tennessee (TN) Certification,2023-02-11 16:31:02.143000,1001,2023-02-11 16:31:02.143000,1001
2350,South Dakota (SD) Certification,2023-02-11 16:30:51.970000,1001,2023-02-11 16:30:51.970000,1001
2349,South Carolina (SC) Certification	,2023-02-11 16:30:35.293000,1001,2023-02-11 16:30:35.293000,1001
2348,Rhode Island (RI) Certification,2023-02-11 16:30:19.253000,1001,2023-02-11 16:30:19.253000,1001
2347,Pennsylvania (PA) Certification,2023-02-11 16:30:06.510000,1001,2023-02-11 16:30:06.510000,1001
2346,Oregon (OR) Certification,2023-02-11 16:29:58.597000,1001,2023-02-11 16:29:58.597000,1001
2345,Oklahoma (OK) Certification,2023-02-11 16:29:43.697000,1001,2023-02-11 16:29:43.697000,1001
2344,Ohio (OH) Certification,2023-02-11 16:29:33.380000,1001,2023-02-11 16:29:33.380000,1001
2343,North Dakota (ND) Certification,2023-02-11 16:29:23.003000,1001,2023-02-11 16:29:23.003000,1001
2342,North Carolina	(NC) Certification,2023-02-11 16:29:08.377000,1001,2023-02-11 16:29:08.377000,1001
2341,New York	(NY) Certification,2023-02-11 16:28:57.980000,1001,2023-02-11 16:28:57.980000,1001
2340,New Mexico (NM) Certification,2023-02-11 16:28:40.227000,1001,2023-02-11 16:28:40.227000,1001
2339,New Jersey (NJ) Certification,2023-02-11 16:28:26.547000,1001,2023-02-11 16:28:26.547000,1001
2338,New Hampshire (NH) Certification,2023-02-11 16:28:13.467000,1001,2023-02-11 16:28:13.467000,1001
2337,Nevada (NV) Certification,2023-02-11 16:28:01.163000,1001,2023-02-11 16:28:01.163000,1001
2336,Nebraska (NE) Certification,2023-02-11 16:27:50.303000,1001,2023-02-11 16:27:50.303000,1001
2335,Montana (MT) Certification,2023-02-11 16:27:37.083000,1001,2023-02-11 16:27:37.083000,1001
2334,Missouri (MO) Certification,2023-02-11 16:27:25.770000,1001,2023-02-11 16:27:25.770000,1001
2333,Mississippi (MS) Certification,2023-02-11 16:27:19.080000,1001,2023-02-11 16:27:19.080000,1001
2332,Minnesota (MN) Certification,2023-02-11 16:27:04.827000,1001,2023-02-11 16:27:04.827000,1001
2331,Michigan (MI) Certification,2023-02-11 16:26:57.027000,1001,2023-02-11 16:26:57.027000,1001
2330,Massachusetts (MA) Certification,2023-02-11 16:26:45.760000,1001,2023-02-11 16:26:45.760000,1001
2329,Maryland (MD) Certification,2023-02-11 16:26:33.273000,1001,2023-02-11 16:26:33.273000,1001
2328,Maine (ME) Certification,2023-02-11 16:26:24.007000,1001,2023-02-11 16:26:24.007000,1001
2327,Louisiana (LA) Certification,2023-02-11 16:26:09.523000,1001,2023-02-11 16:26:09.523000,1001
2326,Kentucky (KY) Certification,2023-02-11 16:25:59.443000,1001,2023-02-11 16:25:59.443000,1001
2325,Kansas (KS) Certification,2023-02-11 16:25:49.610000,1001,2023-02-11 16:25:49.610000,1001
2324,Iowa (IA) Certification,2023-02-11 16:25:39.580000,1001,2023-02-11 16:25:39.580000,1001
2323,Indiana (IN) Certification,2023-02-11 16:25:31.953000,1001,2023-02-11 16:25:31.953000,1001
2322,Illinois (IL) Certification,2023-02-11 16:25:17.870000,1001,2023-02-11 16:25:17.870000,1001
2321,Idaho (ID) Certification,2023-02-11 16:25:10.213000,1001,2023-02-11 16:25:10.213000,1001
2320,Hawaii (HI) Certification,2023-02-11 16:24:56.460000,1001,2023-02-11 16:24:56.460000,1001
2319,Florida (FL) Certification,2023-02-11 16:24:44.863000,1001,2023-02-11 16:24:44.863000,1001
2318,Delaware (DE) Certification,2023-02-11 16:24:33.067000,1001,2023-02-11 16:24:33.067000,1001
2317,Connecticut (CT) Certification,2023-02-11 16:24:18.520000,1001,2023-02-11 16:24:18.520000,1001
2316,Colorado (CO) Certification,2023-02-11 16:24:05.487000,1001,2023-02-11 16:24:05.487000,1001
2315,California (CA) Certification,2023-02-11 16:23:51.687000,1001,2023-02-11 16:23:51.687000,1001
2314,Arkansas (AR) Certification,2023-02-11 16:23:38.653000,1001,2023-02-11 16:23:38.653000,1001
2313,Arizona (AZ) Certification,2023-02-11 16:23:16.140000,1001,2023-02-11 16:23:16.140000,1001
2312,Alaska (AK) Certification,2023-02-11 16:22:58.510000,1001,2023-02-11 16:22:58.510000,1001
2311,Alabama (AL) Certification,2023-02-11 16:22:15.420000,1001,2023-02-11 16:22:15.420000,1001
470,Georgia (GA) Certification,2023-02-11 16:18:28.940000,1001,2012-12-03 10:20:18.183000,1
423,,2023-02-11 16:12:07.253000,1001,2006-04-11 13:57:57.803000,1
2310,1z.  Affiliates/Firms - Georgia $,2023-02-11 15:02:58.197000,1001,2023-02-11 15:02:28.823000,1001
2280,Court Reporter | Steno,2023-02-11 14:46:57.817000,1001,2022-08-26 13:14:07.307000,32900
400,,2023-02-11 14:43:30.580000,1001,2006-04-11 13:57:57.803000,1
454,$$$,2023-02-11 14:43:08.607000,1001,2006-04-11 13:57:57.820000,1
451,$$,2023-02-11 14:43:02.977000,1001,2006-04-11 13:57:57.820000,1
453,$,2023-02-11 14:42:56.740000,1001,2006-04-11 13:57:57.820000,1
435,Weekly,2023-02-11 14:33:50.160000,1001,2006-04-11 13:57:57.820000,1
2302,Interpreter - Language,2023-02-11 14:01:50.430000,1001,2023-02-10 13:05:31.550000,32900
2309,9a. Student,2023-02-10 23:25:59.010000,1001,2023-02-10 23:25:59.010000,1001
2305,9b. Out of Rotation,2023-02-10 23:25:38.613000,1001,2023-02-10 20:56:03.687000,1001
2308,2a. Staff:  Nationwide - Zone 1,2023-02-10 23:05:58.830000,1001,2023-02-10 23:05:58.830000,1001
2306,1c. Staff:  Overflow Georgia - Zone 1,2023-02-10 23:04:45.210000,1001,2023-02-10 22:38:13.550000,1001
2297,1f. Staff:  Overflow Georgia - Zone 4,2023-02-10 22:50:37.950000,1001,2023-01-05 16:29:56.360000,32900
2307,1b. Staff:  Videographers Georgia,2023-02-10 22:50:14.390000,1001,2023-02-10 22:38:30.737000,1001
422,1a. Staff:  Priority Georgia,2023-02-10 22:41:27.440000,1001,2006-04-11 13:57:57.803000,1
401,Account Manager,2023-02-10 20:48:06.747000,1001,2006-04-11 13:57:57.803000,1
2044,Process Server,2023-02-10 20:47:53.553000,1001,2011-02-04 16:17:26.227000,1001
2303,Videographer Overflow,2023-02-10 13:06:21.520000,32900,2023-02-10 13:06:21.520000,32900
2301,Scopist/Proofer/Transciber,2023-02-10 13:05:25.987000,32900,2023-02-10 13:03:27.143000,32900
2300,Independent Contractor - Tier 2 Rates,2023-02-10 12:30:42.907000,1001,2023-02-10 12:30:42.907000,1001
2299,Independent Contractor - Tier 5 Rates,2023-02-10 11:09:46.870000,1001,2023-02-10 11:09:46.870000,1001
2298,Independent Contractor - Tier 4 Rates,2023-02-10 11:09:38.790000,1001,2023-02-10 11:09:38.790000,1001
2169,Trial & Video Services,2023-02-10 11:07:59.310000,1001,2018-01-05 11:43:35.340000,1001
2029,Workers' Comp - EUOs,2023-02-10 11:07:53.833000,1001,2008-10-16 14:20:06.800000,1001
2252,Tier 5 - Zone 5 Rates,2023-02-10 10:18:26.807000,1001,2020-01-08 14:19:12.803000,1001
2149,Tier 4 - Zone 4 Rates,2023-02-10 10:18:10.950000,1001,2015-06-30 17:41:59.330000,1001
2148,Tier 3 - Zone 3 Rates,2023-02-10 10:10:24.817000,1001,2015-06-30 17:41:53.570000,1001
2147,Tier 2 - Zone 2 Rates,2023-02-09 14:55:35.243000,1001,2015-06-30 17:41:48.257000,1001
2141,Tier 1 - Zone 1 Rates,2023-02-09 14:55:23.257000,1001,2015-06-08 14:50:40.680000,1001
2172,15-Day Employee,2023-01-05 16:32:35.857000,32900,2018-02-02 09:20:54.137000,1001
2171,15-Day Independent Contractor,2023-01-05 16:32:26.350000,32900,2018-02-02 09:20:46.183000,1001
2033,Ind. Contractor(Staff Only),2023-01-05 16:32:12.500000,32900,2009-01-03 19:39:06.150000,1001
130,Standard,2023-01-05 02:16:52.760000,1001,2006-04-11 13:57:57.790000,1
430,,2023-01-01 13:32:11.250000,1001,2006-04-11 13:57:57.820000,1
432,Monthly,2023-01-01 13:30:23.283000,1001,2006-04-11 13:57:57.820000,1
433,On Demand,2023-01-01 13:29:03.990000,1001,2006-04-11 13:57:57.820000,1
431,Biweekly,2023-01-01 13:28:55.423000,1001,2006-04-11 13:57:57.820000,1
2264,New - Confirmation Sent to Client,2022-12-14 13:19:29.897000,1001,2022-01-30 12:20:57.360000,1001
2291,Videographer | Site Visit,2022-11-14 15:57:40.850000,32900,2022-11-14 15:57:40.850000,32900
2290,Court Reporter | GA Affiliate,2022-11-02 12:46:10.070000,32900,2022-11-02 12:46:10.070000,32900
2185,Court Reporter | Overflow,2022-11-02 12:45:49.750000,32900,2019-06-18 15:14:12.277000,1001
2186,Court Reporter | Out of State,2022-10-28 11:55:15.767000,32900,2019-06-18 15:16:19.860000,1001
2187,Videographer | Out of State,2022-10-28 11:54:20.210000,32900,2019-06-18 21:49:15.547000,1001
2183,Videographer | Picture-in-Picture,2022-10-28 11:52:09.867000,32900,2019-06-11 21:49:01.343000,1001
2166,"Videographer, Interpreter & Reporter",2022-10-25 12:56:52.053000,32900,2017-07-07 10:09:54.873000,1001
2286,IP Read & Sign,2022-09-26 13:41:42.283000,32900,2022-09-26 13:41:42.283000,32900
2285,VTC Read & Sign,2022-09-26 13:41:31.067000,32900,2022-09-26 13:41:31.067000,32900
2284,Court Reporter | Steno & Digital,2022-08-26 13:14:43.260000,32900,2022-08-26 13:14:43.260000,32900
2283,Court Reporter | Voice & Digital,2022-08-26 13:14:33.813000,32900,2022-08-26 13:14:33.813000,32900
2282,Court Reporter | Digital,2022-08-26 13:14:22.017000,32900,2022-08-26 13:14:22.017000,32900
2281,Court Reporter | Voice,2022-08-26 13:14:13.687000,32900,2022-08-26 13:14:13.687000,32900
2278,Audio: Interview/Meeting,2022-08-12 15:53:59.087000,32900,2022-08-12 15:53:59.087000,32900
2277,Audio: Depo/Hearing,2022-08-12 15:53:47.393000,32900,2022-08-12 15:53:47.393000,32900
2276,Court Reporter | Laptop,2022-08-09 09:50:46.313000,32900,2022-08-09 09:50:46.313000,32900
2275,Hybrid: Videographer Only,2022-08-09 09:50:07.383000,32900,2022-08-09 09:50:07.383000,32900
2274,"Hybrid: Reporter, Video & Interpreter",2022-08-09 09:49:58.377000,32900,2022-08-09 09:49:58.377000,32900
2273,"Hybrid: Reporter, Videographer",2022-08-09 09:49:12.673000,32900,2022-08-09 09:49:12.673000,32900
2272,"Hybrid: Reporter, Interpreter",2022-08-09 09:48:56.947000,32900,2022-08-09 09:48:56.947000,32900
2271,Hybrid: Court Reporter,2022-08-09 09:47:53.890000,32900,2022-08-09 09:47:53.890000,32900
2270,Court Reporter | Rough & Rush,2022-07-28 13:32:47.343000,32900,2022-07-28 13:32:47.343000,32900
2269,Court Reporter | Rush,2022-07-28 13:32:35.610000,32900,2022-07-28 13:32:35.610000,32900
2268,Court Reporter | Rough,2022-07-28 13:32:24.913000,32900,2022-07-28 13:32:24.913000,32900
2267,Court Reporter | Realtime,2022-07-28 13:32:13.237000,32900,2022-07-28 13:32:13.237000,32900
1204,FedEx,2022-02-15 09:53:08.090000,1001,2006-04-11 13:57:57.850000,1
1200,Not Applicable,2022-02-15 09:53:08.090000,1001,2006-04-11 13:57:57.850000,1
2266,2022 Touching Base Email,2022-02-09 17:13:25.770000,1001,2022-02-09 17:13:25.770000,1001
2156,Portal Welcome Email Sent,2022-02-03 23:08:04.960000,1001,2016-09-02 14:17:04.903000,1001
2050,On The Way Courier,2022-02-03 23:03:41.303000,1001,2012-04-19 16:27:45.250000,1001
2263,Shadow,2021-12-07 14:01:19.817000,1001,2021-12-07 14:01:19.817000,1001
2262,Videographer,2021-07-01 11:29:54.710000,1001,2021-07-01 11:29:54.710000,1001
2261,Video,2021-07-01 11:29:43.430000,1001,2021-07-01 11:29:43.430000,1001
2260,Accounts Receivable Manager,2021-06-09 15:58:35.460000,1001,2021-06-09 15:58:35.460000,1001
2259,Production Manager,2021-01-27 10:12:06.740000,1001,2021-01-27 10:12:06.740000,1001
2258,Remote Deposition,2020-03-25 20:25:41.257000,1001,2020-03-25 20:25:41.257000,1001
2257,CART,2020-01-24 11:59:00.183000,1001,2020-01-24 11:59:00.183000,1001
2256,Standard Deposition - ZONE 5,2020-01-22 12:48:34.663000,1001,2020-01-22 12:48:34.663000,1001
2255,Standard Deposition - ZONE 4,2020-01-22 12:48:30.430000,1001,2020-01-22 12:48:30.430000,1001
2254,Standard Deposition - ZONE 3,2020-01-22 12:48:24.680000,1001,2020-01-22 12:48:24.680000,1001
2253,Standard Deposition - ZONE 2,2020-01-22 12:48:19.513000,1001,2020-01-22 12:48:19.513000,1001
1111,Standard Deposition - ZONE 1,2020-01-22 12:47:52.657000,1001,2006-04-11 13:57:57.850000,1
2028,United Auto,2020-01-08 14:18:35.403000,1001,2008-10-16 14:19:53.313000,1001
822,Videographer & Court Reporter,2019-11-18 11:38:01.660000,1001,2006-04-11 13:57:57.837000,1
2083,Video Rough ASCII Arbitration,2019-11-18 11:37:50.270000,1001,2014-03-05 14:23:37.840000,1001
2238,"Trial: Reporter, Video, Interpreter",2019-11-18 11:37:29.427000,1001,2019-11-18 11:16:48.623000,1001
2237,"Trial: Reporter, Interpreter",2019-11-18 11:37:23.267000,1001,2019-11-18 11:16:28.187000,1001
2230,"Rush/Rough: Reporter, Videographer",2019-11-18 11:37:15.680000,1001,2019-11-18 11:11:27.047000,1001
2232,"Rush/Rough: Reporter, Video, Interpreter",2019-11-18 11:37:09.003000,1001,2019-11-18 11:11:51.790000,1001
2231,"Rush/Rough: Reporter, Interpreter",2019-11-18 11:37:01.947000,1001,2019-11-18 11:11:35.747000,1001
2228,"Realtime: Reporter, Interpreter",2019-11-18 11:36:56.350000,1001,2019-11-18 11:10:56.247000,1001
2248,Meeting: Videographer Only,2019-11-18 11:36:48.670000,1001,2019-11-18 11:20:16.143000,1001
2249,"Meeting: Reporter, Videographer",2019-11-18 11:36:42.120000,1001,2019-11-18 11:20:22.413000,1001
2251,"Meeting: Reporter, Video, Interpreter",2019-11-18 11:36:36.147000,1001,2019-11-18 11:20:34.180000,1001
2245,"Mediation: Reporter, Videographer",2019-11-18 11:36:28.663000,1001,2019-11-18 11:18:47.520000,1001
2247,"Mediation: Reporter, Video, Interpreter",2019-11-18 11:36:22.397000,1001,2019-11-18 11:19:02.687000,1001
2241,"Hearing: Reporter, Video, Interpreter",2019-11-18 11:36:15.423000,1001,2019-11-18 11:17:15.593000,1001
2250,"Meeting: Reporter, Interpreter",2019-11-18 11:36:02.590000,1001,2019-11-18 11:20:28.227000,1001
2246,"Mediation: Reporter, Interpreter",2019-11-18 11:35:53.390000,1001,2019-11-18 11:18:58.180000,1001
2240,"Hearing: Reporter, Interpreter",2019-11-18 11:35:44.430000,1001,2019-11-18 11:17:09.570000,1001
2235,"EUO: Reporter, Videographer, Interpreter",2019-11-18 11:35:32.823000,1001,2019-11-18 11:15:19.287000,1001
2233,"EUO: Reporter, Videographer",2019-11-18 11:35:26.810000,1001,2019-11-18 11:14:59.847000,1001
2234,"EUO: Reporter, Interpreter",2019-11-18 11:35:13.277000,1001,2019-11-18 11:15:10.993000,1001
2221,"Depo: Reporter, Videographer",2019-11-18 11:35:06.210000,1001,2019-11-18 10:56:34.283000,1001
2223,"Depo: Reporter, Video, Interpreter",2019-11-18 11:34:59.213000,1001,2019-11-18 10:56:47.463000,1001
2224,"Cross-Depo: Reporter, Videographer",2019-11-18 11:34:49.393000,1001,2019-11-18 11:08:41.073000,1001
2226,"Cross-Depo: Reporter, Video, Interpreter",2019-11-18 11:23:59.993000,1001,2019-11-18 11:09:17.570000,1001
